Choice ID,Scene,Variable Delta,Scope,Expiry,Gate(s) that read it,Outcome tags,Notes
A1.S02.SayItAnyway,A1_S02_BEDR,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S02.StaySilent,A1_S02_BEDR,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S02.BuryIt,A1_S02B_SECT,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S02.LetItStay,A1_S02B_SECT,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S03.LetYourselfRemember,A1_S03_MORN,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S03.BuryIt,A1_S03_MORN,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S04.CoverIt,A1_S04_HALL,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S04.LetItShow,A1_S04_HALL,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S05.RespondWithCold,A1_S05_GALA,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S05.AcknowledgeTheAwkwardness,A1_S05_GALA,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S05.AcknowledgeHer,A1_S05_GALA,Lyra.affection +1,Lyra,Act 1,,,
A1.S05.LookAway,A1_S05_GALA,,,,,,
A1.S05.CrossTheFloor,A1_S05_GALA,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S05.KeepYourDistance,A1_S05_GALA,,,,,,
A1.S06.LeanInAnd,A1_S06_BALC,,,,,,
A1.S06.OfferTheLighter,A1_S06_BALC,,,,,,
A1.S06.HoldHerGaze,A1_S06_BALC,,,,,,
A1.S06.LookPastHer,A1_S06_BALC,,,,,,
A1.S06.FlickAshOver,A1_S06_BALC,,,,,,
A1.S06.TapAshInto,A1_S06_BALC,,,,,,
A1.S06.PressHerAbout,A1_S06_BALC,,,,,,
A1.S06.LetTheMoment,A1_S06_BALC,,,,,,
A1.S07.BreakItImmediately,A1_S07_BEDR,,,,,,
A1.S07.HesitateForA,A1_S07_BEDR,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.SendASingle,A1_S07_BEDR,,,,,,
A1.S07.SayNothing,A1_S07_BEDR,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.MercyReducesUnnecessary,A1_S07A_INSP,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
